;ES;AN;AR;AS;IB;CN;CB;CL;CM;CT;VC;EX;GA;RI;MD;MC;NC;PV;CE;ML
0a;343126;63931;9441;5073;8802;12541;3465;13624;14337;60256;35557;7062;15313;2411;54832;14048;5184;15266;798;1185
1a;375732;71140;10244;5746;10473;14767;3867;15057;16146;64926;38853;7761;16998;2443;58445;14799;5560;16302;911;1294
2a;400432;75609;10931;6157;10538;16253;4278;15742;17558;68785;41935;8492;19045;2724;61451;15288;6012;17384;991;1259
3a;425154;80897;11481;6550;11203;17140;4508;17150;18965;72249;44886;8813;19856;2809;65127;16028;6373;18760;1004;1355
4a;437248;82416;12016;6716;11443;17567;4608;18111;19463;74453;46460;8844;20217;2916;66952;16507;6611;19521;1078;1349
5a;445462;84430;12279;6897;11581;18055;4766;18328;19646;75645;47383;9172;20424;3050;67343;16958;6778;20078;1174;1475
6a;441026;83191;12181;6927;11346;17478;4992;18288;19887;75025;47132;8970;20513;2982;66502;16686;6608;19853;1101;1364
7a;467406;88264;12443;7801;11725;19122;5229;19393;20924;79758;50022;9705;21809;3231;69834;17207;7210;21223;1106;1400
8a;479966;90960;12942;7974;11890;19334;5510;20018;21612;82237;51452;9961;22346;3183;70988;17721;7319;21862;1231;1426
9a;491583;93417;13165;7989;12344;20006;5690;20582;21968;84548;53217;10184;22919;3390;72041;18032;7292;22150;1288;1361
10a;500483;96176;13293;8507;12268;20738;5814;20684;22472;85395;54230;10561;23554;3327;73254;18513;7359;21748;1260;1330
11a;523350;102005;13841;8520;13063;22177;6051;21688;23459;88842;57767;11025;24328;3478;75182;19327;7537;22414;1295;1351
12a;504624;98723;13495;8280;12472;22209;5679;20902;22624;85094;56120;10592;23100;3330;72105;18646;7142;21669;1231;1211
13a;502414;99547;13098;8204;12403;22541;5673;20774;22556;84981;55421;10624;23024;3248;70697;18446;7271;21448;1189;1269
14a;492627;96705;12785;8202;11809;22329;5773;20927;21844;83671;54091;10547;22940;3274;69304;17871;6938;21265;1199;1153
15a;490340;94787;12992;8032;11904;22662;5618;20777;21796;82956;53522;10461;22790;3330;70208;17695;7068;21438;1188;1116
16a;481883;92482;12698;7906;11706;22274;5498;20458;21497;81092;52642;10497;22490;3262;69019;17600;7132;21313;1128;1189
17a;467166;89439;12408;7657;11594;22078;5293;20226;20867;78772;50407;10456;21524;3024;66842;17112;6774;20511;1047;1135
18a;470699;90207;12842;7836;11646;22692;5145;20319;21029;78956;50711;10672;21846;3011;66823;17221;6988;20431;1074;1250
19a;478933;91017;12791;7883;11946;23012;5284;20959;21759;80644;51617;10901;22293;3053;68544;17303;7075;20531;1070;1251
20a;472029;89695;12724;7741;11884;23518;5127;20539;21577;78993;50502;10798;21726;3081;67768;16691;7059;20301;1129;1176
21a;462371;87463;12455;7579;11918;22710;4831;20216;21131;77401;49287;10698;21489;3011;66680;16811;6968;19449;1071;1203
22a;473491;88998;12778;7693;12415;23433;4939;21144;21432;79745;50064;10943;21769;3126;68645;17073;6933;20030;1108;1223
23a;473128;88435;12826;7705;12719;24007;4829;20689;21147;79486;50119;10969;21640;2986;69660;16834;6856;19984;1053;1184
24a;479648;90031;12764;7742;13311;24527;4780;20556;21443;81091;50534;11107;21982;2902;71596;16734;6626;19597;1076;1249
25a;489506;91381;13094;7621;13740;25270;4835;20682;21534;83670;50688;11275;22817;3038;74753;16551;6732;19565;1046;1214
26a;509293;95774;13173;7932;14430;26290;5071;21402;21838;86763;52246;11534;24477;2934;78600;17482;6615;20319;1181;1232
27a;525662;98525;13471;8263;15462;27222;5308;21756;22719;90248;53810;11930;24748;3006;81479;17916;6760;20719;1119;1201
28a;525391;98559;13533;8408;15796;27059;5296;21747;22557;89784;54051;12040;24902;3104;80849;17991;6809;20671;1096;1139
29a;534121;99811;13583;8427;16267;27712;5489;22275;22711;91754;54825;12026;25431;3270;82445;18165;6769;20899;1088;1174
30a;544573;100992;14295;8753;16475;28506;5475;22760;23222;92571;55530;12368;26367;3350;84872;18416;6940;21431;1120;1130
31a;555934;102056;14721;9246;16818;29227;5882;23012;23653;94994;57083;12432;27229;3417;85401;18643;7222;22588;1160;1150
32a;563630;103693;14810;9930;16874;28813;5987;23830;24257;95212;57758;12652;28204;3404;87149;18860;7026;22912;1112;1147
33a;577615;106152;15436;10505;17221;29049;6283;24722;24841;97229;59439;12759;28694;3572;88920;18931;7505;24060;1126;1171
34a;597651;109048;15879;11012;17852;29382;6697;25940;25095;100708;61762;12703;30572;3817;92193;19718;7743;25112;1213;1205
35a;620845;114142;16402;11426;18274;30356;7065;27063;26498;103273;64624;13094;32319;3938;95701;20284;8071;25965;1141;1209
36a;641610;117986;16547;12252;18583;31611;7446;27843;27497;106541;66494;13623;34181;4073;97277;21551;8391;27238;1200;1276
37a;678372;124104;17682;12838;19357;33333;7951;29294;28838;112850;71208;14348;36221;4319;102770;22957;8972;28856;1243;1231
38a;707863;127500;18639;13854;19958;34606;8553;30781;30246;117713;75136;14453;38714;4576;106325;24215;9566;30511;1244;1273
39a;742310;134544;19875;14635;20775;36051;9134;32538;31754;123561;79725;15047;40907;4853;109032;25428;9905;31870;1335;1341
40a;762995;136199;20381;15409;20768;36550;9405;33912;32430;127686;82625;15199;42580;5149;113061;25580;10104;33385;1290;1282
41a;795924;140887;21238;16264;21136;37283;9943;35622;33810;133924;86630;15620;44955;5482;117511;26694;10692;35685;1269;1279
42a;805758;141964;22018;17032;21189;37494;10025;35920;33606;136162;88058;15466;45434;5404;119237;26434;11061;36651;1281;1322
43a;819340;142942;22143;17371;21327;38502;10283;37362;34522;137539;88553;16143;46425;5565;122630;26413;11278;37871;1289;1182
44a;812195;141237;22334;17348;21186;38826;10185;36454;33661;137675;87315;15902;45912;5473;121364;25958;11294;37495;1368;1208
45a;806221;139869;21830;17211;21107;39698;9770;36903;33317;135698;87191;16018;45049;5335;120630;25893;11093;37166;1260;1183
46a;785274;136980;21345;16642;20388;40178;9652;36408;32760;131183;84005;16221;43624;5252;116403;24939;10696;36287;1221;1090
47a;780684;136936;21551;16957;20239;40320;9699;36654;32378;128953;83203;16343;43868;5215;114272;24556;10647;36487;1258;1148
48a;767280;134268;21035;16672;19830;39927;9212;37146;31868;125067;82525;16361;42979;5080;112479;23864;10612;35993;1191;1171
49a;756066;133832;21068;16087;19002;39146;9595;36924;32253;122868;81483;16221;42395;4992;108384;23826;10525;35113;1215;1137
50a;746561;133110;20457;16125;18387;38202;9216;37848;32154;118521;80427;16576;42698;5058;106827;23349;10493;34729;1172;1212
51a;739570;133128;20502;15851;18083;37228;9158;37516;32290;116675;79605;16957;42566;4867;105319;23169;10094;34340;1128;1094
52a;742853;135348;20578;16459;17820;37262;9283;38323;31925;116641;80053;17092;42240;5011;104224;23280;10109;34812;1179;1214
53a;723278;130660;20211;16023;17316;36631;9216;37918;31150;113575;77503;16969;41231;4770;100521;22755;9956;34532;1180;1161
54a;716187;129827;19893;16111;16971;36445;9155;38607;31232;111571;75957;17181;40362;4757;99438;21911;9780;34704;1131;1154
55a;723607;132689;20338;16735;16844;36314;8855;39417;31902;111904;77259;17870;40301;4843;98900;21794;9882;35293;1307;1160
56a;687168;124354;19625;16169;16009;34282;8916;38437;30210;104514;73076;17166;39158;4645;94524;20576;9478;33839;1110;1080
57a;662495;117393;19182;16285;15040;32965;8658;37806;29065;101617;70460;16743;38773;4573;90633;19037;9163;32887;1148;1067
58a;645423;114174;18747;16262;14528;31189;8721;37460;28708;98385;68819;16269;38993;4582;86464;18741;8982;32310;1056;1033
59a;646164;114338;18733;16625;14799;29994;8786;37843;28842;98377;69175;16393;39567;4558;85933;18644;8757;32531;1145;1124
60a;626256;109872;18219;16611;13746;27694;8891;36969;27609;96019;67852;15600;38387;4585;82891;18176;8490;32537;1061;1047
61a;609868;108590;17715;16326;13533;26554;8731;35895;26248;94512;65424;15129;37642;4178;80321;17554;8211;31285;997;1023
62a;592896;104522;17396;16356;12956;25827;8708;35483;24964;91655;63591;14040;36908;4246;78487;16831;8258;30760;921;987
63a;550833;94504;16341;15768;12074;24706;7963;33744;22445;85912;58573;12886;35854;3970;72768;14602;7802;29216;833;872
64a;532821;91743;15796;15099;11756;23956;7735;31847;21247;83613;57929;12277;34376;3750;70321;14449;7394;27920;824;789
65a;505548;85709;14633;14497;11240;22745;7353;30155;20021;80727;54724;11509;33769;3624;66279;13520;6995;26588;749;711
66a;504402;86939;14654;14465;10953;21978;7320;30052;19975;79974;54708;11686;33655;3533;65969;13649;6937;26578;711;666
67a;499034;84757;14762;14218;11127;21471;7171;29346;19992;79367;55569;11530;33611;3401;64974;13327;6882;26205;661;663
68a;464923;78473;13513;13194;10160;20608;6778;27365;17854;74146;51909;10785;30992;3268;61111;12726;6557;24410;539;535
69a;450405;71038;13338;13118;9686;19553;6695;27719;18089;71659;50449;9855;31733;3163;60202;12075;6318;24620;561;534
70a;463894;76270;13678;13348;9698;18831;6662;27918;18327;74586;51064;10337;33028;3266;62022;12082;6511;25278;520;468
71a;480243;80064;13994;13630;10244;18174;6736;28704;19054;78089;53001;10965;33581;3291;64829;12630;6662;25664;499;432
72a;434463;72674;12843;12302;9219;17160;6097;25570;17050;70576;48547;9818;29795;3033;58008;11374;6169;23362;476;390
73a;410584;65841;12549;12235;8725;16708;5739;24575;15258;65598;45759;8878;31257;2911;53928;10912;5947;22935;454;375
74a;422992;70689;12624;12015;8400;16657;5452;25961;16103;68292;45269;9694;31631;2964;55764;11376;6136;23109;466;390
75a;396122;64975;11877;10919;8024;15359;5174;24630;15799;63081;43471;9791;29245;2757;53259;9937;5429;21580;425;390
76a;384038;65198;11527;10386;7698;14351;4878;24519;15876;60450;41448;9633;28588;2769;50824;9148;5446;20541;403;355
77a;324445;52632;10268;8381;6603;13625;4285;21481;13242;50691;35605;7693;24661;2355;42326;7983;4733;17144;381;356
78a;292813;45524;9336;7894;5670;11555;3920;20105;11334;46901;32064;6316;23347;2265;37909;7654;4299;16131;321;268
79a;350451;56514;10259;8139;6235;12111;4123;21947;17058;57028;41634;8751;24629;2514;47212;9803;4460;17337;373;324
80a;225063;39851;7059;6304;4751;8767;2920;15747;8417;31492;23505;6061;17845;1612;28374;5719;3382;12691;309;257
81a;247245;40013;7424;7008;4602;8971;3343;16312;11308;37366;28029;6100;18242;1620;32270;7554;3396;13185;268;234
82a;266750;41566;8372;7304;4802;8939;3590;18084;12841;43694;29003;6669;20829;1791;34168;7113;3413;14065;249;258
83a;277861;42389;9275;8297;4763;9293;3859;21213;12784;44276;26633;7866;23262;2144;35140;6941;3871;15307;287;261
84a;256152;38648;8852;7746;4545;8632;3610;19225;11935;40363;25077;7345;21800;1955;31764;6364;3755;14059;248;229
85a;238246;34235;8283;7660;4010;7914;3502;18428;11151;37421;23310;6535;20592;1942;29973;5966;3287;13637;218;182
86a;225005;33000;7969;7065;3861;7158;3237;17261;11082;35464;22010;6185;18967;1740;28348;5469;3186;12671;186;146
87a;204342;29342;7446;6715;3394;6447;3052;16460;9953;32216;18884;5837;17377;1729;25721;4808;2991;11696;145;129
88a;174204;24209;6443;5667;2834;5040;2641;14655;8680;28048;16262;4967;14270;1398;22245;4134;2508;9929;159;115
89a;154619;20819;5699;5183;2479;4312;2380;13215;8100;24991;14511;3924;12683;1352;19678;3792;2437;8798;128;138
90a;127286;16909;4912;4177;2168;3507;1980;11020;6652;20372;11545;3350;10673;1036;16769;2920;1927;7168;106;95
91a;106766;13708;3994;3570;1736;2872;1680;9621;5514;17003;9641;2828;9104;873;14168;2440;1663;6199;76;76
92a;83014;10018;3265;2772;1483;2083;1292;7670;4369;13731;7232;2124;7072;724;11244;1723;1266;4831;55;60
93a;67545;7988;2565;2178;1151;1637;1085;6501;3425;11364;6105;1762;5622;612;9067;1462;1076;3845;51;49
94a;51306;5935;1990;1804;826;1238;784;5010;2642;8518;4420;1374;4340;462;7058;1075;851;2917;29;33
95a;39239;4472;1612;1359;654;983;646;3944;1982;6536;3200;988;3292;398;5456;779;652;2239;21;26
96a;28606;3119;1186;965;476;676;488;3028;1457;4734;2356;673;2598;262;3916;505;479;1641;26;21
97a;20746;2279;879;716;352;494;302;2224;1032;3362;1658;466;1816;202;3030;389;388;1141;8;8
98a;13644;1434;593;453;217;330;237;1480;668;2197;1102;341;1213;143;2010;238;238;730;12;8
99a;9077;985;378;321;167;222;146;928;443;1537;675;210;873;79;1350;126;154;470;2;11
100a;17308;2597;611;562;271;721;268;1631;759;2511;1373;400;1832;133;2373;254;246;731;22;13
TOTAL;47450795;8464411;1329391;1018784;1171543;2175952;582905;2394918;2045221;7780479;5057353;1063987;2701819;319914;6779888;1511251;661197;2220504;84202;87076